consulta,categoria
si me enfermo en el periodo de prueba que pasa,periodo_prueba
en prueba tengo derecho a incapacidad,periodo_prueba
puedo negociar el periodo de prueba,periodo_prueba
el periodo de prueba cuenta para la cesantia,periodo_prueba
estoy en prueba y quiero renunciar debo avisar,periodo_prueba
en prueba me pueden cambiar de puesto,periodo_prueba
que pasa si no me dicen que estoy en periodo de prueba,periodo_prueba
el periodo de prueba es obligatorio por ley,periodo_prueba
en prueba tengo vacaciones proporcionales,periodo_prueba
prueba de tres meses se puede acortar,periodo_prueba
si quedo fijo despues de la prueba cambia mi contrato,periodo_prueba
en el periodo de prueba pagan horas extra,periodo_prueba
puedo estar a prueba mas de una vez con el mismo patrono,periodo_prueba
la prueba aplica para trabajos temporales,periodo_prueba
en prueba me pueden pedir que trabaje fines de semana,periodo_prueba
por que me rebajan tanto del salario,rebajos_ley
que es lo que me rebajan de la caja,rebajos_ley
cuanto es el rebajo de ley del sueldo,rebajos_ley
por que me quitan plata de la ccss,rebajos_ley
que rebajos son obligatorios por ley,rebajos_ley
me rebajan mucho es normal,rebajos_ley
cuanto porcentaje me quitan del salario,rebajos_ley
que es el seguro social que me rebajan,rebajos_ley
me cobran renta del salario,rebajos_ley
por que mi salario neto es menor al bruto,rebajos_ley
los rebajos de ley cuanto suman,rebajos_ley
me estan rebajando de mas del sueldo,rebajos_ley
que deducciones me hacen del salario,rebajos_ley
el rebajo de la caja es obligatorio,rebajos_ley
cuanto pago de cargas sociales,rebajos_ley
por que me descuentan del pago quincenal,rebajos_ley
el impuesto de renta desde cuanto se cobra,rebajos_ley
que significa el rebajo del 10 por ciento,rebajos_ley
cuanto rebajan por el banco popular,rebajos_ley
el rebajo de la caja es igual para todos los salarios,rebajos_ley
que porcentaje se destina a pensiones en el rebajo,rebajos_ley
los rebajos de ley aplican en medio tiempo,rebajos_ley
cuanto es el rebajo si gano el salario minimo,rebajos_ley
el rebajo de renta desde que monto empieza,rebajos_ley
que cubre el rebajo del seguro social,rebajos_ley
los prestamos se pueden rebajar del salario sin permiso,rebajos_ley
el patrono puede rebajarme por llegar tarde,rebajos_ley
cuanto rebajan de ley en un trabajo por horas,rebajos_ley
el rebajo de ccss lo paga tambien el patrono,rebajos_ley
que pasa si no me hacen los rebajos de ley,rebajos_ley
los rebajos de ley bajan si gano menos,rebajos_ley
cuanto es el total de cargas sociales que pagan entre los dos,rebajos_ley
el rebajo de renta se hace cada mes o cada año,rebajos_ley
puedo pedir que no me rebajen banco popular,rebajos_ley
que es el rebajo obrero patronal,rebajos_ley
los rebajos de ley aplican en aguinaldo,rebajos_ley
cuanto rebajan si trabajo por servicios profesionales,rebajos_ley
el rebajo de la caja me da derecho a algo,rebajos_ley
me tienen que pagar las horas extra,jornada_horas_extra
cuantas horas puedo trabajar al dia,jornada_horas_extra
si trabajo domingo me pagan doble,jornada_horas_extra
las horas extra como se pagan,jornada_horas_extra
me hacen trabajar 12 horas es legal,jornada_horas_extra
cuanto es la jornada maxima por ley,jornada_horas_extra
trabajo de noche me pagan mas,jornada_horas_extra
me obligan a quedarme mas horas sin pago,jornada_horas_extra
las horas extra son el doble o cuanto,jornada_horas_extra
cuantas horas extra puedo hacer al dia,jornada_horas_extra
trabajo feriado me pagan aparte,jornada_horas_extra
la jornada nocturna cuantas horas es,jornada_horas_extra
me deben las horas extra de la semana,jornada_horas_extra
cuanto es una hora extra si gano por hora,jornada_horas_extra
puedo negarme a hacer horas extra,jornada_horas_extra
trabajo 6 dias a la semana esta bien,jornada_horas_extra
cuanto descanso me toca entre jornadas,jornada_horas_extra
las horas de mas no me las quieren pagar,jornada_horas_extra
cuantas horas puedo trabajar en jornada mixta,jornada_horas_extra
las horas extra se pagan aunque sea salario fijo,jornada_horas_extra
puedo trabajar los siete dias de la semana,jornada_horas_extra
que pasa si trabajo mas de 12 horas en un dia,jornada_horas_extra
las horas extra se calculan sobre el salario base,jornada_horas_extra
tengo derecho a un dia libre a la semana,jornada_horas_extra
el trabajo en feriado de pago obligatorio es doble o mas,jornada_horas_extra
cuantas horas extra maximas puedo hacer al mes,jornada_horas_extra
si trabajo turno nocturno cuanto es el plus,jornada_horas_extra
me pueden obligar a hacer horas extra siempre,jornada_horas_extra
cuanto descanso debo tener entre un turno y otro,jornada_horas_extra
las horas extra prescriben si no las reclamo,jornada_horas_extra
trabajo por turnos rotativos eso es legal,jornada_horas_extra
cuanto es la jornada maxima semanal permitida,jornada_horas_extra
si trabajo el dia libre me lo deben reponer,jornada_horas_extra
las horas extra se pagan en efectivo o se acumulan,jornada_horas_extra
puedo pedir que me paguen las horas extra en vez de descanso,jornada_horas_extra
cuanto tiempo de almuerzo me corresponde en la jornada,jornada_horas_extra
el trabajo en dia de asueto se paga distinto,jornada_horas_extra
si trabajo horas extra sin autorizacion me las deben pagar,jornada_horas_extra
me despidieron sin ninguna razon,escalar_humano
mi jefe me acosa y no se que hacer,escalar_humano
no me quieren pagar la liquidacion,escalar_humano
me tratan muy mal en el trabajo,escalar_humano
me echaron por estar embarazada,escalar_humano
mi patrono me amenaza si reclamo,escalar_humano
me despidieron por incapacidad,escalar_humano
sufro acoso sexual de un compañero,escalar_humano
me botaron y no me pagaron nada,escalar_humano
necesito hablar con un abogado urgente,escalar_humano
me discriminan por mi edad en el trabajo,escalar_humano
mi jefe me grita y me humilla,escalar_humano
me despidieron injustificadamente,escalar_humano
quiero poner una denuncia contra mi patrono,escalar_humano
no me pagan el salario desde hace meses,escalar_humano
me obligan a trabajar enfermo,escalar_humano
me acosan laboralmente todos los dias,escalar_humano
me quieren despedir sin justa causa,escalar_humano
me redujeron el salario sin avisar,escalar_humano
mi jefe me hostiga fuera del horario de trabajo,escalar_humano
me despidieron por reclamar mis derechos,escalar_humano
no me han dado de alta en la ccss,escalar_humano
me obligan a firmar renuncia sin quererlo,escalar_humano
sufro discriminacion por mi orientacion sexual en el trabajo,escalar_humano
mi patrono no respeta mi incapacidad medica,escalar_humano
me amenazan con despedirme si me enfermo,escalar_humano
no me pagan las horas extra desde hace meses,escalar_humano
me despidieron por estar embarazada de nuevo,escalar_humano
mi jefe me toca sin mi consentimiento,escalar_humano
me obligan a trabajar sin las medidas de seguridad,escalar_humano
quiero denunciar a mi patrono por abuso,escalar_humano
me despidieron y no me dieron ninguna explicacion,escalar_humano
sufro violencia laboral necesito ayuda urgente,escalar_humano
mi patrono no me quiere dar la carta de despido,escalar_humano
me deben mas de tres meses de salario,escalar_humano
me discriminan por mi religion en el trabajo,escalar_humano
necesito asesoria legal por un despido injusto,escalar_humano
mi jefe me amenaza con quitarme el trabajo,escalar_humano
cual es la capital de costa rica,no_relacionado
como se hace un gallo pinto,no_relacionado
quien gano el mundial de futbol,no_relacionado
que tiempo va a hacer mañana,no_relacionado
cual es la mejor pelicula del año,no_relacionado
como puedo aprender ingles rapido,no_relacionado
cuantos habitantes tiene costa rica,no_relacionado
recomiendame una serie para ver,no_relacionado
como se prepara un casado tico,no_relacionado
cual es el mejor equipo de futbol,no_relacionado
que hora es en japon,no_relacionado
como bajar de peso rapido,no_relacionado
cual es la capital de francia,no_relacionado
que canciones estan de moda,no_relacionado
como puedo aprender a programar,no_relacionado
cual es el precio del dolar hoy,no_relacionado
donde puedo comer barato cerca,no_relacionado
que playa me recomienda visitar,no_relacionado
como se llama el presidente actual,no_relacionado
cual es el significado de la vida,no_relacionado
que puedo hacer este fin de semana,no_relacionado
como entreno para una maraton,no_relacionado
cual es el mejor celular para comprar,no_relacionado
que pelicula gano el oscar,no_relacionado
como puedo mejorar mi curriculum,no_relacionado
cuentame un chiste,no_relacionado
hola como estas,no_relacionado
buenos dias como amaneciste,no_relacionado
que dia es hoy,no_relacionado
cual es la capital de alemania,no_relacionado
como se dice gracias en ingles,no_relacionado
que recomiendas para el dolor de cabeza,no_relacionado
cual es el animal mas rapido del mundo,no_relacionado
como puedo crear una cuenta de correo,no_relacionado
cuanto cuesta un boleto de avion a españa,no_relacionado
cual es el rio mas largo del mundo,no_relacionado
como se instala una aplicacion en el celular,no_relacionado
que ejercicios puedo hacer en casa,no_relacionado
cual es la historia de costa rica,no_relacionado
como consigo boletos para un concierto,no_relacionado
empece a trabajar en abril para diciembre cuantos dias de vacaciones me corresponden,vacaciones
si entre en abril cuantos dias de vacaciones tengo en diciembre,vacaciones
empece en abril y quiero saber mis dias de vacaciones,vacaciones
para diciembre ya tengo vacaciones si entre en abril,vacaciones
cuantas vacaciones me tocan por llevar meses trabajando,vacaciones
si llevo ocho meses trabajando cuantos dias de vacaciones tengo,vacaciones
cuantos dias de vacaciones corresponden antes de cumplir un año,vacaciones
cuantos dias libres tengo por ley si llevo seis meses,vacaciones
si empece en mayo para diciembre puedo pedir vacaciones,vacaciones
entre en enero cuantas vacaciones tengo acumuladas,vacaciones
la fecha de ingreso cambia mis dias de vacaciones,vacaciones
cuantos dias acumulo de vacaciones por cada mes,vacaciones
si llevo ocho meses ya puedo tomar vacaciones,vacaciones
cuantas vacaciones me tocan si empece en abril,vacaciones
para diciembre cuantos dias libres por vacaciones me corresponden,vacaciones
si trabajo 4 horas extra y gano 2000 por hora cuanto me deben pagar,jornada_horas_extra
cuanto vale una hora extra si gano 300000 al mes,jornada_horas_extra
el 50 por ciento adicional de una hora de 2500 cuanto es,jornada_horas_extra
cuanto me rebajan si gano 450000 y la cuota es 10.67 por ciento,rebajos_ley
que porcentaje representa un rebajo de 45000 sobre 400000,rebajos_ley
si gano 400000 cuanto recibo despues del rebajo de ley,rebajos_ley
empece en septiembre cuanto aguinaldo me toca,aguinaldo
si gano 400000 y entre en septiembre cuanto seria mi aguinaldo,aguinaldo
cuanto es el aguinaldo si trabaje tres meses,aguinaldo
me pagan aguinaldo si solo llevo cuatro meses,aguinaldo
hola necesito ayuda con mi aguinaldo,aguinaldo
hola necesito ayuda con mis vacaciones,vacaciones
mae cuantos dias de vacas me tocan,vacaciones
tengo una pregunta sobre mis vacaciones,vacaciones
me pueden despedir mientras estoy en periodo de prueba,periodo_prueba
cuanto dura la prueba en un trabajo nuevo,periodo_prueba
durante la prueba tengo derecho a vacaciones,periodo_prueba
me despidieron sin pagarme la liquidacion que hago,escalar_humano
mi jefe me acosa y necesito ayuda,escalar_humano
no me pagan desde hace dos meses,escalar_humano
cual es la capital de costa rica,no_relacionado
como preparo gallo pinto,no_relacionado
que pelicula me recomienda,no_relacionado
